Id,Start,Name,Impact,Currency
8042caad-cc89-461d-8e29-3743cdd9ca68,02/19/2019 10:15:00,ECB's De Guindos speech,MEDIUM,EUR
2e93d38f-eb41-422a-9445-613e42998eaf,02/19/2019 13:50:00,Fed's Mester speech,MEDIUM,USD
5ba59aa3-f1fb-4714-8dd2-87a00a8d3be1,02/19/2019 15:00:00,ECB's Praet speech,MEDIUM,EUR
f7184049-38bf-4e22-99dc-85748d6e9085,02/20/2019 07:00:00,ECB's Praet speech,MEDIUM,EUR
28d72aa2-4065-413e-baed-f90c110b0e95,02/20/2019 19:00:00,FOMC Minutes,HIGH,USD
235db245-b0ac-4a37-a503-9ea4ed848212,02/21/2019 09:00:00,HCOB Composite PMI,HIGH,EUR
dd4e9730-4059-4ac1-be5f-2c8f05aad19c,02/21/2019 09:00:00,HCOB Manufacturing PMI,MEDIUM,EUR
83864775-f972-4b0a-99f6-81112ab04c46,02/21/2019 09:00:00,HCOB Services PMI,MEDIUM,EUR
ae65627d-82b6-4098-b37a-f3efc5129003,02/21/2019 12:30:00,ECB Monetary Policy Meeting Accounts,HIGH,EUR
a9b4a4c9-c5bf-4db8-87f8-223e78ba4f16,02/21/2019 12:50:00,Fed's Bostic speech,MEDIUM,USD
a08fc2e1-c13b-47e3-9347-9c7e6f79bced,02/21/2019 13:30:00,Durable Goods Orders,MEDIUM,USD
3428762e-faa4-49be-aec7-5504d3ed3d36,02/21/2019 13:30:00,Durable Goods Orders ex Defense,MEDIUM,USD
75959bfa-a503-4858-ac2a-5d121cda76ce,02/21/2019 13:30:00,Durable Goods Orders ex Transportation,MEDIUM,USD
4e4dc13f-6505-4a06-abff-7f2f34eb4455,02/21/2019 13:30:00,Initial Jobless Claims,MEDIUM,USD
ba6b5b06-5b0c-4fe6-bb14-684f03579bff,02/21/2019 13:30:00,Initial Jobless Claims 4-week average,MEDIUM,USD
fa1a1d26-13b2-4894-9136-60de4fdb13d4,02/21/2019 13:30:00,Nondefense Capital Goods Orders ex Aircraft,HIGH,USD
cb9bae38-506c-4f13-a44a-f6e05e3c1217,02/21/2019 13:33:12,Philadelphia Fed Manufacturing Survey,MEDIUM,USD
48dbc315-e968-4752-b83e-1f77ded86ec0,02/21/2019 14:45:00,S&P Global Composite PMI,MEDIUM,USD
c0703002-1546-4b44-81de-85437d4aa733,02/21/2019 14:45:00,S&P Global Manufacturing PMI,MEDIUM,USD
a6be9e05-9b49-4fa3-938a-d59dd6037ae4,02/21/2019 14:45:00,S&P Global Services PMI,MEDIUM,USD
d261208d-447d-4f6c-b86b-e10c69e978d7,02/21/2019 15:00:00,Existing Home Sales (MoM),MEDIUM,USD
eb2b0ccf-acc1-4385-8bd7-69407a844b00,02/22/2019 10:00:00,Core Harmonized Index of Consumer Prices (MoM),MEDIUM,EUR
d3566a82-1438-437e-853e-f23253477b93,02/22/2019 10:00:00,Core Harmonized Index of Consumer Prices (YoY),MEDIUM,EUR
36010d54-d146-4d80-8ee5-2b3da3b567b9,02/22/2019 10:00:00,Harmonized Index of Consumer Prices (MoM),MEDIUM,EUR
0cb9327f-38b6-4ea1-9d4d-d2e84aca1545,02/22/2019 10:00:00,Harmonized Index of Consumer Prices (YoY),MEDIUM,EUR
06129a05-7545-4024-a00c-302f831afdf9,02/22/2019 15:15:00,Fed's Williams speech,MEDIUM,USD
60312c7c-0709-461a-80b7-e7c66f9a46d4,02/22/2019 15:30:00,ECB's President Draghi speech,HIGH,EUR
35d42113-2e5c-43a2-9f18-56f10943091d,02/22/2019 16:00:00,Fed Monetary Policy Report,MEDIUM,USD
afb1155d-c1f2-4ae0-bfc4-45308356b3d3,02/22/2019 17:00:00,Fed's Clarida speech,MEDIUM,USD
930bd08f-f648-4137-9ccd-c53a6093ce22,02/22/2019 18:30:00,Fed's Bullard speech,MEDIUM,USD
5083d921-1b69-4f32-b5fe-19bd1934bf94,02/22/2019 18:30:00,Fed's Quarles speech,MEDIUM,USD
c638f97d-bc28-483e-baf3-3c23e547c778,02/22/2019 22:30:00,Fed's Williams speech,MEDIUM,USD
42c13923-73aa-4099-84db-5c67ad722c8d,02/25/2019 13:30:00,"Chicago Fed National Activity Index ",MEDIUM,USD
7434256e-0ba2-4cd6-ae14-020059928217,02/25/2019 16:00:00,Fed's Clarida speech,MEDIUM,USD
0f6a8985-604e-4aa0-8584-079f2b68ad6b,02/26/2019 13:30:00,Building Permits (MoM),MEDIUM,USD
fdd182cd-60b1-4fab-842a-1ccb9e8576c2,02/26/2019 13:30:00,Housing Starts (MoM),MEDIUM,USD
c9d5c26c-3e34-4e0c-a86f-635ae46121a2,02/26/2019 14:00:00,S&P/Case-Shiller Home Price Indices (YoY),MEDIUM,USD
261fad0e-02d3-4721-9647-ad1beac5c086,02/26/2019 14:03:29,Housing Price Index (MoM),MEDIUM,USD
56508907-9e21-4660-b4b9-a345f169f358,02/26/2019 14:30:00,ECB's Mersch speech,MEDIUM,EUR
4ca6ecfd-60ea-427a-b9a1-71208d64283f,02/26/2019 14:45:00,Fed's Chair Powell testifies,HIGH,USD
8f6ba380-eb6b-4ddc-a121-f953d8a68671,02/26/2019 15:00:00,Consumer Confidence,MEDIUM,USD
fbc4a125-d77b-4ead-a264-b61cfb0e4588,02/27/2019 08:30:00,ECB's Cœuré speech,MEDIUM,EUR
4cc8676c-a8ea-4708-88c6-88160889e0a2,02/27/2019 10:00:00,Business Climate,MEDIUM,EUR
1638d11a-cc28-4670-bdca-93081bf8463e,02/27/2019 14:00:00,Fed's Chair Powell testifies,HIGH,USD
ef14e21e-350c-41d1-ad3e-cd2a323dc426,02/27/2019 15:00:00,Factory Orders (MoM),MEDIUM,USD
9dc76624-23a3-404b-9e6e-1f4be9a3725d,02/27/2019 15:00:00,Pending Home Sales (MoM),MEDIUM,USD
d8821228-a9fb-43eb-8c4a-b353b90014ea,02/28/2019 11:30:00,Gross Domestic Product Annualized,HIGH,USD
